符合條件商品
資料日期：2026年  7月 17日
策略,	Total pool
"序號","代碼","商品","成交","漲幅%","總量","總市值(元)",月營收年增率
1	,"1101.TW","台泥","23.5","-1.88","38900","176794000000",32.4
2	,"1102.TW","亞泥","33.25","0.76","30739","117923000000",-2.21
3	,"1103.TW","嘉泥","13.6","-0.37","347","11327000000",-7.49
4	,"1104.TW","環泥","26.6","-1.3","517","18265000000",-18.91
5	,"1108.TW","幸福","12.25","-3.16","1010","4958000000",-26.58
6	,"1109.TW","信大","13.8","-0.72","335","4707000000",-19.63
7	,"1110.TW","東泥","15.7","-2.48","344","8980000000",-4.01
8	,"1201.TW","味全","12.6","-0.79","708","6376000000",5.13
9	,"1203.TW","味王","45.95","2.11","39","11028000000",-1.13
10	,"1210.TW","大成","57.9","-1.36","3355","51807000000",12.17
11	,"1213.TW","大飲","7.7","0","0","435000000",5.66
12	,"1215.TW","卜蜂","110.5","-1.78","1942","32574000000",8.69
13	,"1216.TW","統一","80","1.27","30855","454561000000",4.6
14	,"1217.TW","愛之味","9.96","-0.9","774","4925000000",-2.41
15	,"1218.TW","泰山","16.4","-1.8","1366","8199000000",-11.86
16	,"1219.TW","福壽","12.15","-2.02","722","4146000000",0.4
17	,"1220.TW","台榮","11.35","0.44","66","2009000000",6.91
18	,"1225.TW","福懋油","26.85","-1.1","130","6504000000",2.28
19	,"1227.TW","佳格","29.95","-0.99","1198","27406000000",-1.57
20	,"1229.TW","聯華","40.85","-1.45","3087","74832000000",-52.01
21	,"1231.TW","聯華食","90.6","-1.41","898","27039000000",6.95
22	,"1232.TW","大統益","168.5","4.01","3377","26955000000",16.3
23	,"1233.TW","天仁","28.45","-0.35","54","2577000000",19.86
24	,"1234.TW","黑松","33.65","-0.3","129","13522000000",-5.29
25	,"1235.TW","興泰","36.75","-0.81","42","6930000000",-6.84
26	,"1236.TW","宏亞","23.55","1.73","196","2041000000",14.12
27	,"1240.TW","茂生農經","54.7","-1.44","17","2419000000",24.17
28	,"1256.TW","鮮活果汁-KY","185","-2.12","85","6617000000",52.28
29	,"1259.TW","安心","59.5","0.68","51","1927000000",2.95
30	,"1264.TW","德麥","258","-0.39","37","9559000000",9.93
31	,"1268.TW","漢來美食","169.5","-0.29","60","7156000000",23.43
32	,"1294.TW","漢田生技","56.7","-1.39","43","2076000000",17.44
33	,"1295.TW","生合","48.5","-3.77","56","1823000000",26.71
34	,"1301.TW","台塑","62.8","-4.27","73534","399768000000",-2.69
35	,"1303.TW","南亞","199","-9.95","118647","1578233000000",31.79
36	,"1304.TW","台聚","13.35","-4.64","9606","15869000000",-26.34
37	,"1305.TW","華夏","12.65","-3.8","3050","7350000000",-44.67
38	,"1307.TW","三芳","32.05","-1.99","1005","12750000000",11.11
39	,"1308.TW","亞聚","14.35","-4.65","4866","8520000000",20.68
40	,"1309.TW","台達化","14.4","-4.95","3533","5725000000",-51.72
41	,"1310.TW","台苯","10.15","-5.14","6467","5357000000",-24.84
42	,"1312.TW","國喬","12.85","-4.46","17938","19360000000",-0.22
43	,"1313.TW","聯成","12.2","-5.06","6921","16236000000",2.32
44	,"1314.TW","中石化","8.64","-4.64","61550","32701000000",-29.27
45	,"1315.TW","達新","63.8","-1.54","30","6322000000",-13.95
46	,"1316.TW","上曜","10.05","-2.9","2930","3778000000",101.97
47	,"1319.TW","東陽","73.6","-2.65","2557","43532000000",3.04
48	,"1321.TW","大洋","31.75","-1.55","124","7214000000",-3.65
49	,"1323.TW","永裕","20.2","0","50","1843000000",8.54
50	,"1324.TW","地球","10.2","-1.92","222","766000000",-21.38
51	,"1325.TW","恆大","25.1","-2.9","359","2140000000",-18.4
52	,"1326.TW","台化","66.1","-4.06","81696","387424000000",11.59
53	,"1336.TW","台翰","14.6","-5.19","495","1133000000",29.61
54	,"1337.TW","再生-KY","4.96","-1.78","453","1334000000",-21.21
55	,"1338.TW","廣華-KY","16.25","-1.81","110","1362000000",-3.24
56	,"1339.TW","昭輝","43.4","-1.92","99","3216000000",-3.26
57	,"1340.TW","勝悅-KY","5.25","-1.5","154","802000000",-74.58
58	,"1341.TW","富林-KY","58.6","-1.01","14","3097000000",3.1
59	,"1342.TW","八貫","115","-1.29","589","8970000000",40.14
60	,"1402.TW","遠東新","27.7","-0.36","23024","148274000000",12.06
61	,"1409.TW","新纖","24.3","-6.54","24215","39327000000",13.44
62	,"1410.TW","南染","26.6","-1.48","113","1649000000",-29.21
63	,"1413.TW","宏洲","9.5","0.32","14","970000000",-1.89
64	,"1414.TW","東和","18.3","-1.35","418","3623000000",-6.84
65	,"1416.TW","廣豐","11.1","0","759","2057000000",68.33
66	,"1417.TW","嘉裕","8.73","-1.69","311","1658000000",-28.51
67	,"1418.TW","東華","18.35","-0.81","13","859000000",6800
68	,"1419.TW","新紡","66.1","-0.9","175","19832000000",17.98
69	,"1423.TW","利華","37","0","27","3686000000",-4.69
70	,"1432.TW","大魯閣","14.95","-1.97","545","1345000000",-39.51
71	,"1434.TW","福懋","19.2","-1.29","25296","32345000000",-1.45
72	,"1435.TW","中福","22.9","-9.84","16","3200000000",0
73	,"1436.TW","華友聯","44.95","-2.28","672","8727000000",-79.41
74	,"1437.TW","勤益控","30.65","-0.16","155","6187000000",71.22
75	,"1438.TW","三地開發","20.95","-2.1","70","2329000000",0
76	,"1439.TW","雋揚","25.55","-3.4","253","2350000000",-69.96
77	,"1440.TW","南紡","12.95","-3.36","2968","21455000000",-11.53
78	,"1441.TW","大東","9.1","-1.09","34","575000000",-39.89
79	,"1442.TW","名軒","29.55","0.51","796","10821000000",26.79
80	,"1443.TW","立益物流","27.05","0.19","37","3661000000",-8.2
81	,"1444.TW","力麗","8.12","-0.98","3684","8084000000",25.55
82	,"1445.TW","大宇","11.35","-3.4","67","1483000000",-21.26
83	,"1446.TW","宏和","14","-2.78","354","1927000000",22.98
84	,"1447.TW","力鵬","8.16","-5.34","2301","7426000000",53.19
85	,"1449.TW","佳和","13.05","-3.69","761","1658000000",12.31
86	,"1451.TW","年興","17.25","0","192","3415000000",8.01
87	,"1452.TW","宏益","11.45","-3.38","184","1518000000",13.73
88	,"1453.TW","大將","11.1","-1.77","70","1256000000",1.61
89	,"1454.TW","台富","12.55","-3.46","69","1629000000",-30.03
90	,"1455.TW","集盛","9.18","-1.61","1704","4880000000",-13.94
91	,"1456.TW","怡華","14","0.36","102","1312000000",-63.28
92	,"1457.TW","宜進","14.25","-1.04","66","4513000000",-2.3
93	,"1459.TW","聯發","11.7","0","86","4195000000",-10
94	,"1460.TW","宏遠","7.05","-0.14","869","4897000000",0.51
95	,"1463.TW","強盛新","17.65","-0.28","107","3058000000",19.23
96	,"1464.TW","得力","10.6","-1.43","736","4511000000",2.06
97	,"1465.TW","偉全","12.9","-1.53","95","1336000000",-8.16
98	,"1466.TW","聚隆","17.1","-8.56","1231","1900000000",-25.76
99	,"1467.TW","南緯","8.7","-2.79","693","1463000000",24.38
100	,"1468.TW","昶和","13.6","7.51","79","2181000000",-16.76
